7169	44
0	ROOT
1	nsubj
2	det
3	amod
4	prep
5	pobj
6	advmod
7	xcomp
8	dobj
9	rcmod
10	nsubjpass
11	auxpass
12	poss
13	dep
14	mark
15	nn
16	ccomp
17	appos
18	cop
19	cc
20	conj
21	aux
22	neg
23	prt
24	vmod
25	discourse
26	expl
27	tmod
28	advcl
29	pcomp
30	num
31	npadvmod
32	parataxis
33	possessive
34	csubj
35	iobj
36	predet
37	acomp
38	preconj
39	number
40	quantmod
41	mwe
42	csubjpass
43	punct
172	new	207
173	better	207
174	place	203
175	those	203
176	hull	202
177	found	201
178	nothing	200
179	captain	200
180	saw	200
181	even	199
182	might	197
183	does	195
184	jasper	192
185	hastings	192
186	thing	192
187	young	192
188	work	191
189	city	190
190	through	190
191	things	190
192	men	186
193	dollars	184
194	off	181
195	sir	181
196	people	180
197	always	179
198	while	175
199	enough	174
200	turned	174
201	left	173
202	these	173
203	girl	173
204	own	172
205	find	171
206	wo	171
207	such	170
208	submarine	169
209	life	169
210	home	167
211	answered	167
212	woman	165
213	miss	165
214	another	164
215	great	164
216	course	162
217	knew	161
218	soon	160
219	swift	160
220	its	160
221	perhaps	160
222	voice	159
223	put	158
224	seemed	158
225	because	157
226	told	157
227	yet	156
228	friend	155
229	sure	151
230	being	151
231	understand	149
232	quite	147
233	hope	145
234	water	145
235	though	143
236	mrs.	142
237	last	142
238	most	141
239	kelly	138
240	looking	138
241	pettigrew	137
242	hand	137
243	until	135
244	done	134
245	next	133
246	morning	132
247	far	132
248	laughed	132
249	side	132
250	without	132
251	jefferson	131
252	sharp	131
253	glad	130
254	ever	130
255	exclaimed	128
256	every	128
257	weston	126
258	mind	125
259	few	125
260	believe	125
261	help	123
262	try	121
263	myself	121
264	wish	120
265	really	119
266	simeon	118
267	same	118
268	air	117
269	door	117
270	began	116
271	keep	116
272	love	116
273	talk	115
274	use	115
275	under	115
276	class	115
277	woodman	114
278	almost	114
279	felt	114
280	moment	113
281	tin	113
282	name	113
283	world	113
284	suddenly	112
285	toward	112
286	indeed	112
287	took	111
288	herself	111
289	suppose	110
290	small	110
291	ropes	109
292	hands	109
293	each	109
294	returned	108
295	seen	108
296	friends	108
297	mike	108
298	hundred	108
299	wonder	107
300	call	106
301	heard	106
302	business	106
303	part	106
304	pumpkinhead	105
305	five	104
306	violin	104
307	matter	104
308	pay	104
309	gave	103
310	brought	103
311	afraid	103
312	need	102
313	live	102
314	ought	102
315	against	101
316	ask	101
317	night	101
318	thousand	101
319	street	100
320	big	100
321	years	100
322	wheeler	99
323	gold	99
324	mombi	98
325	saw-horse	97
326	three	97
327	play	96
328	ready	95
329	called	95
330	charlton	95
331	beautiful	95
332	stood	94
333	best	93
334	end	93
335	please	93
336	many	93
337	feel	92
338	feet	92
339	later	92
340	lady	92
341	horse	92
342	along	91
343	drawing	91
344	certainly	91
345	both	90
346	answer	90
347	letter	90
348	rather	90
349	kind	90
350	around	90
351	however	89
352	thank	89
353	full	89
354	also	89
355	doing	88
356	advance	87
357	taken	87
358	ship	86
359	idea	86
360	several	86
361	care	86
362	yourself	85
363	half	85
364	days	85
365	walk	85
366	sort	85
367	berg	84
368	open	84
369	goodnow	84
370	means	83
371	round	83
372	dear	82
373	line-art	82
374	holbrook	82
375	woggle-bug	82
376	hear	81
377	week	81
378	stay	80
379	used	79
380	inventor	79
381	since	78
382	read	78
383	town	78
384	forward	78
385	guess	77
386	smile	77
387	lost	77
388	chapter	77
389	remember	76
390	lad	76
391	others	76
392	getting	76
393	least	76
394	four	76
395	passed	76
396	leave	76
397	gone	76
398	glinda	75
399	else	75
400	bad	75
401	run	75
402	trouble	74
403	chance	74
404	words	74
405	coming	74
406	trying	73
407	probably	72
408	bring	72
409	near	72
410	behind	72
411	boys	72
412	quickly	72
413	set	72
414	ai	71
415	everything	71
416	pretty	71
417	seem	71
418	glance	71
419	reason	71
420	expression	70
421	different	70
422	question	70
423	seems	69
424	become	69
425	tone	69
426	truth	69
427	wanted	69
428	son	69
429	added	69
430	sat	68
431	stopped	68
432	craft	68
433	decided	68
434	store	68
435	change	68
436	remarked	67
437	wreck	67
438	working	67
439	followed	67
440	worth	67
441	party	67
442	poor	67
443	hard	67
444	meet	67
445	says	66
446	uncle	66
447	speak	66
448	word	66
449	short	66
450	surface	66
451	fact	66
452	ten	66
453	alone	65
454	sight	65
455	thinking	65
456	position	65
457	start	64
458	gump	64
459	shook	64
460	true	64
461	less	64
462	minutes	64
463	having	64
464	doubt	64
465	nor	63
466	large	63
467	women	63
468	sent	63
469	john	63
470	bed	62
471	sense	62
472	damon	62
473	turn	62
474	stop	62
475	show	62
476	gordon	62
477	send	62
478	suggested	61
479	slowly	61
480	spoke	61
481	real	61
482	rose	61
483	tower	61
484	making	61
485	larson	60
486	league	60
487	squire	60
488	together	60
489	declared	60
490	strange	60
491	hours	60
492	paper	60
493	drew	59
494	tried	59
495	present	59
496	except	59
497	able	59
498	treasure	59
499	met	59
500	heart	59
501	continued	59
502	rich	58
503	perry	58
504	person	58
505	window	58
506	smiled	58
507	reached	58
508	country	58
509	jill	57
510	human	57
511	evening	57
512	emerald	57
513	known	57
514	maybe	56
515	politics	56
516	between	56
517	across	56
518	murmured	56
519	within	56
520	martha	56
521	started	55
522	whole	55
523	ter	55
524	joe	55
525	fine	55
526	taking	55
527	story	55
528	redwood	55
529	interest	54
530	manner	54
531	meant	54
532	mine	54
533	whether	54
534	free	54
535	follow	54
536	wait	53
537	low	53
538	hold	53
539	rest	53
540	ago	53
541	army	52
542	above	52
543	boat	52
544	roses	52
545	bottom	52
546	carried	51
547	simply	51
548	surprise	51
549	hour	51
550	school	51
551	forget	51
552	majesty	51
553	whom	50
554	fellow	50
555	light	50
556	already	50
557	changed	50
558	case	50
559	woods	50
560	office	50
561	quick	50
562	became	50
563	lot	50
564	remsen	50
565	entered	49
566	wrong	49
567	walked	49
568	below	49
569	happen	49
570	opened	49
571	red	49
572	fortune	49
573	fell	49
574	silence	49
575	surprised	48
576	hotel	48
577	easy	48
578	demanded	48
579	road	48
580	till	48
581	page	48
582	happy	48
583	nodded	47
584	easily	47
585	minute	47
586	carry	47
587	guardian	47
588	high	47
589	pocket	47
590	strong	47
591	marry	47
592	sorry	46
593	jinjur	46
594	company	46
595	led	46
596	held	46
597	inquired	46
598	steps	46
599	mother	46
600	body	46
601	among	46
602	themselves	45
603	certain	45
604	learn	45
605	dress	45
606	unless	45
607	breath	45
608	kitchen	45
609	sea	45
610	fifty	45
611	afternoon	45
612	thief	44
613	princess	44
614	deal	44
615	lived	44
616	given	44
617	doctor	44
618	t	44
619	articles	44
620	wants	44
621	power	44
622	dad	44
623	agent	43
624	explained	43
625	second	43
626	talking	43
627	o'clock	43
628	clear	43
629	feeling	43
630	hardly	43
631	close	43
632	gentleman	43
633	view	42
634	reply	42
635	living	42
636	sitting	42
637	ahead	42
638	attention	42
639	andy	42
640	carefully	42
641	happened	42
642	thus	42
643	fall	42
644	table	42
645	buy	42
646	showed	42
647	green	42
648	sound	42
649	honest	42
650	deep	41
651	expect	41
652	times	41
653	instead	41
654	public	41
655	cut	41
656	ye	41
657	often	41
658	escape	41
659	dr.	41
660	farm	41
661	government	41
662	york	40
663	sometimes	40
664	girls	40
665	retorted	40
666	glanced	40
667	queer	40
668	chair	40
669	ocean	40
670	either	40
671	bit	40
672	suit	40
673	outside	40
674	dinner	40
675	black	40
676	pause	39
677	box	39
678	ellen	39
679	six	39
680	besides	39
681	legs	39
682	lay	39
683	walking	39
684	settled	38
685	wife	38
686	likely	38
687	inside	38
688	lips	38
689	dead	38
690	pleased	38
691	account	38
692	cabin	38
693	kept	38
694	straight	38
695	saying	38
696	year	38
697	exactly	38
698	stand	38
699	caught	38
700	secret	37
701	land	37
702	plain	37
703	abruptly	37
704	seeing	37
705	order	37
706	dressed	37
707	journey	37
708	expected	37
709	ears	37
710	books	37
711	curious	37
712	to-day	37
713	nice	37
714	fast	37
715	possible	37
716	dark	37
717	crowd	37
718	ground	37
719	laughing	37
720	filled	37
721	longer	37
722	casket	37
723	queen	37
724	mountain	37
725	sun	36
726	finished	36
727	anyhow	36
728	laugh	36
729	realize	36
730	cause	36
731	closed	36
732	bless	36
733	fool	36
734	foolish	36
735	standing	36
736	ran	36
737	white	35
738	front	35
739	hugo	35
740	angry	35
741	fear	35
742	busy	35
743	makes	35
744	dropped	35
745	conning	35
746	form	35
747	telling	35
748	arm	35
749	trip	35
750	'em	35
751	wonderful	35
752	election	35
753	note	35
754	waiting	35
755	sensible	35
756	early	35
757	montana	35
758	past	34
759	wished	34
760	anybody	34
761	impossible	34
762	learned	34
763	property	34
764	discovered	34
765	general	34
766	admitted	34
767	promise	34
768	dick	34
769	deck	34
770	supper	34
771	softly	34
772	nearly	34
773	paused	34
774	lose	34
775	fire	34
776	firm	33
777	mortgage	33
778	top	33
779	soldier	33
780	village	33
781	smiling	33
782	figure	33
783	sudden	33
784	save	33
785	played	33
786	careful	33
787	campaign	33
788	knows	33
789	death	33
790	neither	33
791	seat	33
792	judge	32
793	sorceress	32
794	yours	32
795	married	32
796	sunken	32
797	raised	32
798	miles	32
799	noticed	32
800	therefore	32
801	turning	32
802	tired	32
803	labor	32
804	ones	32
805	following	32
806	observed	32
807	hesitated	32
808	silent	32
809	papers	32
810	james	32
811	late	32
812	begin	32
813	fresh	32
814	serious	32
815	necessary	32
816	appearance	32
817	point	32
818	charge	32
819	clothes	32
820	act	32
821	startled	31
822	music	31
823	floor	31
824	object	31
825	airship	31
826	caesar	31
827	hurried	31
828	lots	31
829	understood	31
830	sick	31
831	louis	31
832	shut	31
833	paid	31
834	political	31
835	remain	31
836	important	30
837	dare	30
838	interested	30
839	news	30
840	win	30
841	eagerly	30
842	experience	30
843	witch	30
844	playing	30
845	cyrus	30
846	palace	30
847	seven	30
848	beside	30
849	curiosity	30
850	realized	30
851	search	30
852	quiet	30
853	daddy	30
854	corner	30
855	arthur	30
856	further	30
857	tank	30
858	repeated	30
859	common	30
860	none	30
861	sharply	30
862	plan	30
863	tomorrow	30
864	pleasure	30
865	educated	29
866	beg	29
867	throne	29
868	breakfast	29
869	simple	29
870	creature	29
871	frank	29
872	sailor	29
873	eat	29
874	lower	29
875	usual	29
876	beyond	29
877	powerful	29
878	dollar	29
879	watched	29
880	sit	29
881	speed	29
882	cry	29
883	surely	28
884	clerk	28
885	circumstances	28
886	prize	28
887	eye	28
888	spent	28
889	fight	28
890	reform	28
891	bank	28
892	_	28
893	opinion	28
894	speech	28
895	seated	28
896	ride	28
897	instant	28
898	character	28
899	shot	28
900	interrupted	28
901	questions	28
902	upper	28
903	excuse	28
904	pleasant	28
905	state	28
906	rapidly	28
907	puzzled	28
908	children	28
909	write	28
910	count	28
911	worry	28
912	strike	28
913	carton	28
914	subject	28
915	sheldon	27
916	beginning	27
917	presently	27
918	received	27
919	twenty	27
920	bag	27
921	burst	27
922	plates	27
923	hungry	27
924	looks	27
925	return	27
926	hair	27
927	especially	27
928	wizard	27
929	shouted	27
930	frightened	27
931	natural	27
932	career	27
933	stared	27
934	lives	27
935	plans	27
936	remained	27
937	gazed	27
938	galland	27
939	heavy	27
940	car	27
941	talked	27
942	companion	27
943	somewhat	27
944	safe	26
945	odd	26
946	liked	26
947	lifted	26
948	listen	26
949	step	26
950	salary	26
951	distance	26
952	built	26
953	electric	26
954	tanks	26
955	age	26
956	alive	26
957	colman	26
958	merely	26
959	powder	26
960	jewelry	26
961	quietly	26
962	moving	26
963	lie	26
964	dangerous	26
965	massa	26
966	farmhouse	26
967	aged	26
968	nest	26
969	moved	26
970	appeared	26
971	sargent	26
972	luck	26
973	nearer	26
974	valuable	25
975	danger	25
976	youth	25
977	royal	25
978	wear	25
979	comes	25
980	running	25
981	gesture	25
982	wave	25
983	accept	25
984	worked	25
985	finally	25
986	managed	25
987	mouth	25
988	intend	25
989	whose	25
990	apparently	25
991	health	25
992	plainly	25
993	hat	25
994	resumed	25
995	nature	25
996	anxiously	25
997	barn	25
998	interesting	25
999	lying	25
1000	needed	25
1001	plenty	25
1002	fixed	25
1003	suits	25
1004	philip	25
1005	grew	25
1006	tall	25
1007	fingers	25
1008	steel	25
1009	direction	25
1010	offer	25
1011	sum	25
1012	enter	25
1013	itself	25
1014	daughter	24
1015	higgins	24
1016	reach	24
1017	gently	24
1018	bow	24
1019	pumpkin	24
1020	sell	24
1021	giving	24
1022	anxious	24
1023	hall	24
1024	willing	24
1025	education	24
1026	fellows	24
1027	merchant	24
1028	fair	24
1029	neck	24
1030	wide	24
1031	move	24
1032	comfortable	24
1033	angrily	24
1034	respect	24
1035	watch	24
1036	machinery	24
1037	hoped	24
1038	loved	24
1039	family	24
1040	mighty	24
1041	doorway	24
1042	number	24
1043	visit	24
1044	sides	24
1045	ways	24
1046	stammered	24
1047	guard	24
1048	diving	24
1049	muttered	24
1050	worse	24
1051	middle	24
1052	brains	24
1053	desk	24
1054	admiral	24
1055	during	24
1056	fairly	23
1057	hill	23
1058	spite	23
1059	speaking	23
1060	greatly	23
1061	dozen	23
1062	aboard	23
1063	wild	23
1064	rear	23
1065	sighed	23
1066	explain	23
1067	immediately	23
1068	everybody	23
1069	to-morrow	23
1070	prepared	23
1071	yesterday	23
1072	oz	23
1073	movement	23
1074	shrewd	23
1075	listened	23
1076	whatever	23
1077	sweet	23
1078	workingmen	23
1079	curiously	23
1080	forgotten	23
1081	color	23
1082	terrible	23
1083	line	23
1084	cent	23
1085	friendly	23
1086	leaves	23
1087	proceeded	23
1088	cold	23
1089	arms	23
1090	strength	23
1091	purpose	23
1092	hurry	23
1093	acquaintance	23
1094	goes	23
1095	foot	23
1096	stairs	22
1097	suspected	22
1098	ashamed	22
1099	pleaded	22
1100	cheeks	22
1101	sampson	22
1102	prisoners	22
1103	picked	22
1104	milk	22
1105	west	22
1106	pauper	22
1107	holding	22
1108	carriage	22
1109	trees	22
1110	houses	22
1111	agreed	22
1112	aloud	22
1113	porch	22
1114	anywhere	22
1115	handsome	22
1116	eager	22
1117	streeter	22
1118	weeks	22
1119	board	22
1120	months	22
1121	tail	22
1122	knowing	22
1123	blame	22
1124	sister	22
1125	foger	22
1126	saved	22
1127	race	22
1128	pulled	22
1129	latter	21
1130	sympathy	21
1131	broken	21
1132	ourselves	21
1133	advice	21
1134	king	21
1135	finding	21
1136	suspect	21
1137	oreville	21
1138	wind	21
1139	disappointed	21
1140	matters	21
1141	nick	21
1142	hastily	21
1143	hurt	21
1144	o	21
1145	hate	21
1146	afford	21
1147	rise	21
1148	attempt	21
1149	fit	21
1150	quarter	21
1151	perfectly	21
1152	opportunity	21
1153	advanced	21
1154	thinks	21
1155	sigh	21
1156	touch	21
1157	urged	21
1158	mayor	21
1159	putting	21
1160	crazy	21
1161	wise	21
1162	pointed	21
1163	husband	21
1164	ideas	21
1165	sink	21
1166	silver	21
1167	ignorant	21
1168	success	21
1169	ordered	21
1170	believed	21
1171	pardon	20
1172	lunch	20
1173	birds	20
1174	humor	20
1175	island	20
1176	fully	20
1177	shoulders	20
1178	stern	20
1179	accident	20
1180	bound	20
1181	windows	20
1182	attractive	20
1183	song	20
1184	arrived	20
1185	born	20
1186	owe	20
1187	regarded	20
1188	situation	20
1189	trust	20
1190	blood	20
1191	satisfaction	20
1192	game	20
1193	although	20
1194	loss	20
1195	entirely	20
1196	wooden	20
1197	joy	20
1198	jewels	20
1199	cast	20
1200	ordinary	20
1201	contained	20
1202	due	20
1203	announced	20
1204	satisfied	20
1205	propose	20
1206	engaged	20
1207	leg	20
1208	offered	20
1209	amazement	20
1210	laid	20
1211	jen	20
1212	clean	20
1213	stupid	20
1214	lieutenant	20
1215	cents	20
1216	considered	20
1217	food	20
1218	welcome	20
1219	fashion	20
1220	discharged	20
1221	slow	20
1222	confidence	20
1223	prove	20
1224	train	20
1225	goin	20
1226	chief	20
1227	law	20
1228	difficult	19
1229	garden	19
1230	prefer	19
1231	attack	19
1232	martin	19
1233	machine	19
1234	peculiar	19
1235	eight	19
1236	blue	19
1237	fiddle	19
1238	rule	19
1239	article	19
1240	evidently	19
1241	gold-pieces	19
1242	lead	19
1243	wings	19
1244	satisfactory	19
1245	wore	19
1246	tied	19
1247	path	19
1248	watching	19
1249	emperor	19
1250	belongs	19
1251	dry	19
1252	ozma	19
1253	mile	19
1254	advantage	19
1255	importance	19
1256	uneasy	19
1257	favor	19
1258	particular	19
1259	hooper	19
1260	shop	19
1261	struck	19
1262	boss	19
1263	theft	19
1264	mistake	19
1265	altogether	19
1266	highly	19
1267	keeping	19
1268	thoughts	19
1269	growing	19
1270	sprang	19
1271	doors	19
1272	allowed	19
1273	brother	19
1274	die	19
1275	fly	19
1276	earnest	19
1277	treated	19
1278	soul	18
1279	bought	18
1280	bent	18
1281	lovely	18
1282	delighted	18
1283	clever	18
1284	veranda	18
1285	conversation	18
1286	pressure	18
1287	conquer	18
1288	magic	18
1289	refused	18
1290	narrow	18
1291	nose	18
1292	force	18
1293	silly	18
1294	reflected	18
1295	hearing	18
1296	remark	18
1297	square	18
1298	supposed	18
1299	content	18
1300	kid	18
1301	gazing	18
1302	protested	18
1303	nancy	18
1304	war	18
1305	lend	18
1306	rising	18
1307	affairs	18
1308	sad	18
1309	notice	18
1310	engine-room	18
1311	clothing	18
1312	field	18
1313	gang	18
1314	fancy	18
1315	sleep	18
1316	stock	18
1317	college	18
1318	breathed	18
1319	sooner	18
1320	frowned	18
1321	threw	18
1322	usually	18
1323	jackson	18
1324	valley	18
1325	larger	17
1326	ill	17
1327	caused	17
1328	examined	17
1329	mistaken	17
1330	charm	17
1331	hidden	17
1332	leading	17
1333	useless	17
1334	pursued	17
1335	rush	17
1336	missing	17
1337	sank	17
1338	difference	17
1339	conquered	17
1340	rejoined	17
1341	possibly	17
1342	wondering	17
1343	cook	17
1344	enjoy	17
1345	pride	17
1346	scarcely	17
1347	auto	17
1348	cat	17
1349	leaving	17
1350	admit	17
1351	thick	17
1352	listening	17
1353	spare	17
1354	slightly	17
1355	gates	17
1356	direct	17
1357	habit	17
1358	bill	17
1359	difficulty	17
1360	earth	17
1361	crow	17
1362	dared	17
1363	troubled	17
1364	month	17
1365	miner	17
1366	bright	17
1367	unusual	17
1368	false	17
1369	fifteen	17
1370	calmly	17
1371	telephone	17
1372	single	17
1373	agree	17
1374	cloak	17
1375	occurred	17
1376	building	17
1377	miners	17
1378	cloud	17
1379	towers	17
1380	placed	17
1381	familiar	17
1382	anger	17
1383	hot	17
1384	today	17
1385	sofas	17
1386	leaned	17
1387	tramp	17
1388	teach	16
1389	stolen	16
1390	amused	16
1391	burton	16
1392	proposed	16
1393	guilty	16
1394	wondered	16
1395	latin	16
1396	waters	16
1397	rain	16
1398	reckon	16
1399	command	16
1400	balloonist	16
1401	broke	16
1402	beat	16
1403	bowed	16
1404	whiskers	16
1405	axe	16
1406	practical	16
1407	riding	16
1408	effort	16
1409	vain	16
1410	remembered	16
1411	thoroughly	16
1412	mention	16
1413	pieces	16
1414	depth	16
1415	refuse	16
1416	service	16
1417	awful	16
1418	bundy	16
1419	lines	16
1420	earn	16
1421	rode	16
1422	extraordinary	16
1423	signal	16
1424	pain	16
1425	ejaculated	16
1426	pills	16
1427	third	16
1428	hurrying	16
1429	sailors	16
1430	twelve	16
1431	draw	16
1432	gaze	16
1433	bother	16
1434	future	16
1435	catch	16
1436	personal	16
1437	various	16
1438	gentlemen	16
1439	sign	16
1440	written	16
1441	letters	16
1442	ma'am	16
1443	places	16
1444	park	16
1445	elected	16
1446	appear	16
1447	pale	16
1448	kindly	16
1449	possession	16
1450	handed	16
1451	seized	16
1452	fraud	16
1453	entrance	16
1454	responded	16
1455	harm	16
1456	excellent	16
1457	share	16
1458	pose	16
1459	considerable	16
1460	child	16
1461	commented	16
1462	telegraph	16
1463	book	16
1464	proper	16
1465	fortunate	16
1466	advise	16
1467	asleep	16
1468	folks	16
1469	older	16
1470	observation	16
1471	chap	16
1472	glaspell	16
1473	bills	16
1474	forced	15
1475	conditions	15
1476	contrary	15
1477	parcel	15
1478	private	15
1479	selling	15
1480	intended	15
1481	animal	15
1482	harvey	15
1483	nervous	15
1484	storm	15
1485	killed	15
1486	forgot	15
1487	fill	15
1488	revolt	15
1489	walls	15
1490	fish	15
1491	drawn	15
1492	chamber	15
1493	wood	15
1494	statement	15
1495	convinced	15
1496	value	15
1497	impatient	15
1498	cared	15
1499	masters	15
1500	physical	15
1501	fun	15
1502	adventurers	15
1503	spend	15
1504	anyway	15
1505	ending	15
1506	attracted	15
1507	nine	15
1508	throw	15
1509	card	15
1510	employed	15
1511	pleasantly	15
1512	coast	15
1513	relieved	15
1514	somehow	15
1515	employer	15
1516	shaking	15
1517	discover	15
1518	vanity	15
1519	sincere	15
1520	waited	15
1521	somebody	15
1522	stuff	15
1523	nonsense	15
1524	writing	15
1525	beneath	15
1526	wrote	15
1527	roof	15
1528	precious	15
1529	promptly	15
1530	governor	15
1531	tears	15
1532	wall	15
1533	pumps	15
1534	creatures	15
1535	sought	15
1536	request	15
1537	sky	15
1538	to-night	15
1539	reading	15
1540	instantly	15
1541	aunt	15
1542	ah	15
1543	anyone	15
1544	chin	15
1545	marriage	15
1546	pass	15
1547	died	15
1548	break	15
1549	pockets	15
1550	perfect	15
1551	passion	15
1552	relief	15
1553	strings	15
1554	railroad	15
1555	spoil	15
1556	wealth	15
1557	meeting	15
1558	amazed	15
1559	obliged	14
1560	flight	14
1561	gratefully	14
1562	stepped	14
1563	flew	14
1564	hills	14
1565	edge	14
1566	regret	14
1567	ned	14
1568	promised	14
1569	cross	14
1570	delight	14
1571	soft	14
1572	courage	14
1573	showing	14
1574	equally	14
1575	helped	14
1576	reasons	14
1577	'n	14
1578	allow	14
1579	carrying	14
1580	income	14
1581	splendid	14
1582	smart	14
1583	flynn	14
1584	asking	14
1585	tiny	14
1586	trial	14
1587	friendship	14
1588	recognized	14
1589	aft	14
1590	gain	14
1591	pilot	14
1592	plutocracy	14
1593	blow	14
1594	report	14
1595	permitted	14
1596	admiration	14
1597	proud	14
1598	aware	14
1599	boarding	14
1600	special	14
1601	drop	14
1602	impressed	14
1603	yard	14
1604	minister	14
1605	commanded	14
1606	honestly	14
1607	travelers	14
1608	belong	14
1609	terms	14
1610	worn	14
1611	police	14
1612	bread	14
1613	forest	14
1614	fond	14
1615	opening	14
1616	weakness	14
1617	beings	14
1618	tree	14
1619	suspicion	14
1620	occupied	14
1621	kill	14
1622	hung	14
1623	employ	14
1624	lodging	14
1625	bullion	14
1626	fred	14
1627	imagine	14
1628	slender	14
1629	south	14
1630	control	14
1631	intelligent	14
1632	flying	14
1633	frankly	14
1634	justice	14
1635	venture	14
1636	fix	14
1637	opposite	14
1638	steadily	14
1639	damage	14
1640	respectable	14
1641	begun	14
1642	language	14
1643	thoughtfully	14
1644	oxygen	14
1645	avenue	14
1646	proved	14
1647	classes	14
1648	obviously	14
1649	terror	14
1650	support	14
1651	useful	14
1652	loose	14
1653	main	14
1654	action	14
1655	boldero	14
1656	blind	14
1657	presence	14
1658	cheap	14
1659	gas	14
1660	tune	13
1661	flowers	13
1662	gives	13
1663	popular	13
1664	shape	13
1665	energy	13
1666	feared	13
1667	forehead	13
1668	deeply	13
1669	everyone	13
1670	lack	13
1671	society	13
1672	pumpkins	13
1673	hopes	13
1674	disappointment	13
1675	tonight	13
1676	fitted	13
1677	officer	13
1678	lift	13
1679	searching	13
1680	hit	13
1681	sake	13
1682	staring	13
1683	rivers	13
1684	receive	13
1685	interfere	13
1686	american	13
1687	spoken	13
1688	unexpected	13
1689	flushed	13
1690	glass	13
1691	gun	13
1692	views	13
1693	directly	13
1694	rate	13
1695	touched	13
1696	wheels	13
1697	clearwater	13
1698	kitten	13
1699	complete	13
1700	somewhere	13
1701	gurnsey	13
1702	completely	13
1703	flashed	13
1704	swiftly	13
1705	fielding	13
1706	system	13
1707	steal	13
1708	cleared	13
1709	forgive	13
1710	faces	13
1711	republican	13
1712	gray	13
1713	social	13
1714	gathered	13
1715	marrying	13
1716	astonished	13
1717	worthy	13
1718	grass	13
1719	equal	13
1720	united	13
1721	shining	13
1722	astonishment	13
1723	fighting	13
1724	named	13
1725	brief	13
1726	becoming	13
1727	consider	13
1728	afterward	13
1729	regard	13
1730	halted	13
1731	soldiers	13
1732	hide	13
1733	instance	13
1734	pity	13
1735	secure	13
1736	straw	13
1737	compete	13
1738	pull	13
1739	suggestion	13
1740	advised	13
1741	bailey	13
1742	pair	13
1743	servant	13
1744	tent	13
1745	fastened	13
1746	tight	13
1747	directed	13
1748	empty	13
1749	taste	13
1750	liable	13
1751	struggle	13
1752	superior	13
1753	robbed	13
1754	indicated	13
1755	information	13
1756	idle	13
1757	actions	13
1758	raise	13
1759	waste	13
1760	heartily	13
1761	emotion	13
1762	rolled	13
1763	meanwhile	13
1764	club	13
1765	ring	13
1766	stone	13
1767	calm	13
1768	impulse	12
1769	hastened	12
1770	lighted	12
1771	questioning	12
1772	desire	12
1773	sounded	12
1774	recognize	12
1775	suffer	12
1776	jackdaws	12
