8159	44
0	ROOT
1	advcl
2	dep
3	cc
4	conj
5	poss
6	nn
7	prep
8	pobj
9	det
10	amod
11	nsubj
12	vmod
13	dobj
14	num
15	cop
16	tmod
17	parataxis
18	nsubjpass
19	auxpass
20	xcomp
21	rcmod
22	ccomp
23	possessive
24	advmod
25	aux
26	expl
27	mark
28	appos
29	neg
30	prt
31	discourse
32	pcomp
33	quantmod
34	number
35	npadvmod
36	csubj
37	iobj
38	predet
39	acomp
40	preconj
41	mwe
42	csubjpass
43	punct
180	mean	235
181	may	235
182	anything	232
183	replied	231
184	people	230
185	hull	230
186	young	229
187	give	229
188	things	228
189	captain	225
190	place	225
191	saw	223
192	thing	219
193	hastings	216
194	life	216
195	such	215
196	own	215
197	does	215
198	off	214
199	because	213
200	always	213
201	woman	209
202	enough	207
203	girl	205
204	submarine	204
205	great	204
206	being	203
207	left	198
208	these	197
209	another	196
210	find	196
211	dollars	195
212	soon	195
213	jasper	194
214	most	193
215	home	192
216	swift	190
217	knew	190
218	turned	189
219	sir	186
220	told	186
221	yet	185
222	wo	185
223	though	183
224	miss	182
225	course	181
226	put	180
227	seemed	180
228	perhaps	179
229	sure	177
230	water	177
231	answered	176
232	quite	172
233	kelly	171
234	voice	170
235	until	170
236	last	169
237	friend	168
238	mrs.	167
239	without	166
240	next	165
241	far	164
242	hope	161
243	understand	159
244	every	159
245	mind	158
246	morning	157
247	hand	155
248	side	155
249	ever	155
250	class	151
251	under	151
252	done	150
253	few	149
254	world	147
255	looking	147
256	sharp	146
257	woodman	146
258	tin	144
259	air	143
260	pettigrew	143
261	weston	143
262	same	141
263	really	139
264	laughed	139
265	jefferson	138
266	took	137
267	glad	137
268	seen	136
269	use	136
270	keep	136
271	almost	136
272	toward	135
273	herself	134
274	friends	133
275	big	133
276	felt	133
277	small	133
278	simeon	132
279	try	131
280	began	130
281	help	130
282	myself	129
283	exclaimed	129
284	believe	128
285	wish	128
286	each	128
287	name	128
288	part	128
289	love	126
290	mombi	126
291	beautiful	126
292	talk	126
293	against	125
294	hands	125
295	thousand	125
296	moment	124
297	hundred	124
298	business	124
299	door	124
300	suddenly	123
301	indeed	123
302	violin	122
303	pumpkinhead	122
304	three	122
305	many	122
306	saw-horse	121
307	heard	121
308	brought	121
309	along	120
310	end	119
311	pay	119
312	ropes	118
313	years	118
314	called	117
315	however	117
316	kind	116
317	gold	116
318	also	116
319	street	116
320	five	116
321	gave	116
322	best	116
323	later	115
324	matter	115
325	suppose	115
326	call	115
327	live	114
328	feet	113
329	lady	113
330	returned	113
331	ought	113
332	afraid	112
333	mike	112
334	wonder	112
335	night	110
336	play	110
337	need	108
338	days	108
339	stood	108
340	around	108
341	ask	107
342	ready	107
343	both	107
344	taken	106
345	advance	106
346	doing	106
347	drawing	105
348	horse	104
349	wheeler	103
350	woggle-bug	103
351	several	102
352	full	101
353	open	100
354	rather	100
355	walk	100
356	charlton	99
357	feel	99
358	answer	98
359	please	98
360	means	98
361	care	97
362	sort	97
363	since	96
364	used	95
365	letter	95
366	glinda	95
367	berg	95
368	certainly	95
369	four	95
370	town	95
371	line-art	94
372	idea	94
373	inventor	93
374	round	93
375	ship	93
376	half	93
377	wanted	93
378	having	93
379	least	92
380	hear	92
381	set	92
382	holbrook	91
383	week	91
384	forward	91
385	dear	91
386	gone	91
387	poor	90
388	near	90
389	thank	90
390	read	90
391	less	89
392	words	89
393	ter	89
394	chapter	89
395	working	88
396	chance	88
397	others	88
398	become	88
399	trying	88
400	yourself	87
401	passed	87
402	fact	86
403	behind	86
404	lost	86
405	smile	86
406	else	85
407	remember	85
408	lad	85
409	party	85
410	reason	85
411	bad	85
412	boys	85
413	goodnow	85
414	run	84
415	bring	84
416	position	84
417	son	84
418	rose	83
419	getting	83
420	large	83
421	truth	83
422	sat	82
423	sight	82
424	stay	82
425	coming	82
426	craft	81
427	leave	81
428	women	81
429	guess	81
430	seem	80
431	wreck	80
432	league	80
433	emerald	80
434	quickly	79
435	remsen	79
436	says	79
437	expression	79
438	tower	79
439	probably	79
440	hours	79
441	seems	78
442	country	78
443	glance	78
444	hard	78
445	everything	78
446	question	78
447	gump	78
448	sent	78
449	trouble	77
450	change	77
451	nor	77
452	decided	77
453	turn	76
454	damon	76
455	word	76
456	stopped	76
457	making	76
458	ai	76
459	surface	75
460	pretty	75
461	except	75
462	able	75
463	ten	74
464	different	74
465	minutes	74
466	strange	74
467	between	74
468	person	74
469	followed	73
470	speak	73
471	short	73
472	alone	73
473	added	73
474	tone	73
475	thinking	72
476	meet	72
477	sense	72
478	remarked	72
479	politics	71
480	john	71
481	body	71
482	window	71
483	reached	71
484	red	71
485	tried	71
486	real	71
487	true	71
488	together	71
489	known	70
490	continued	70
491	send	70
492	evening	70
493	meant	70
494	army	69
495	worth	69
496	paper	69
497	rich	69
498	uncle	69
499	present	69
500	whole	69
501	store	69
502	doubt	68
503	show	68
504	treasure	68
505	heart	68
506	joe	68
507	rest	68
508	bed	68
509	shook	68
510	roses	68
511	larson	68
512	across	67
513	themselves	67
514	stop	67
515	story	67
516	spoke	66
517	whom	66
518	met	66
519	human	66
520	start	66
521	jinjur	66
522	within	65
523	low	65
524	slowly	65
525	drew	65
526	declared	65
527	martha	65
528	above	64
529	perry	64
530	whether	64
531	suggested	64
532	gordon	64
533	manner	63
534	free	63
535	high	63
536	smiled	63
537	started	63
538	jill	63
539	power	63
540	simply	63
541	road	62
542	follow	62
543	interest	62
544	company	62
545	maybe	62
546	public	61
547	taking	61
548	fell	61
549	boat	61
550	office	60
551	hold	60
552	happen	60
553	instead	60
554	green	60
555	majesty	60
556	squire	60
557	became	59
558	fellow	59
559	lay	59
560	carried	59
561	strong	59
562	fine	59
563	woods	58
564	wait	58
565	bottom	58
566	ago	58
567	school	58
568	among	58
569	murmured	58
570	princess	58
571	light	58
572	walked	57
573	thus	57
574	redwood	57
575	given	57
576	girls	57
577	legs	56
578	hour	56
579	carry	56
580	lot	56
581	honest	56
582	entered	56
583	surprise	56
584	changed	55
585	led	55
586	quick	55
587	dress	55
588	held	55
589	queen	55
590	already	55
591	easy	55
592	mine	55
593	marry	55
594	second	55
595	sun	55
596	either	55
597	often	54
598	view	54
599	below	54
600	certain	54
601	wrong	54
602	silence	54
603	afternoon	53
604	t	53
605	easily	53
606	opened	53
607	forget	53
608	case	53
609	showed	53
610	land	53
611	fortune	52
612	wife	52
613	kitchen	52
614	learn	52
615	happy	52
616	front	52
617	minute	52
618	till	52
619	table	52
620	lived	52
621	andy	51
622	explained	51
623	clear	51
624	kept	51
625	sitting	51
626	year	51
627	steps	51
628	farm	51
629	page	51
630	unless	51
631	attention	50
632	hotel	50
633	government	50
634	pocket	50
635	black	50
636	carefully	50
637	expected	50
638	surprised	50
639	white	50
640	order	50
641	hardly	49
642	breath	49
643	escape	49
644	mother	49
645	close	49
646	wonderful	49
647	o'clock	49
648	sea	49
649	buy	49
650	thief	49
651	fifty	49
652	happened	49
653	crowd	49
654	talking	49
655	times	48
656	six	48
657	sorry	48
658	nodded	48
659	fear	48
660	demanded	48
661	guardian	48
662	deep	48
663	discovered	48
664	ahead	48
665	outside	47
666	deal	47
667	political	47
668	sound	47
669	dr.	47
670	sometimes	47
671	ran	47
672	anyhow	47
673	inside	47
674	labor	47
675	ears	47
676	living	47
677	articles	47
678	ground	47
679	played	47
680	exactly	47
681	lips	47
682	ye	46
683	doctor	46
684	inquired	46
685	bit	46
686	expect	46
687	wants	46
688	plain	46
689	ocean	46
690	stand	46
691	feeling	46
692	straight	45
693	judge	45
694	walking	45
695	journey	45
696	cut	45
697	laugh	45
698	cause	45
699	account	45
700	gentleman	45
701	early	45
702	fall	45
703	agent	45
704	dead	45
705	form	44
706	reply	44
707	secret	44
708	filled	44
709	glanced	44
710	mountain	44
711	ellen	44
712	dad	44
713	palace	44
714	to-day	44
715	york	44
716	fast	44
717	queer	44
718	caught	43
719	following	43
720	paid	43
721	suit	43
722	saying	43
723	finished	43
724	campaign	43
725	chair	43
726	pleased	43
727	conning	43
728	besides	43
729	dinner	42
730	nearly	42
731	longer	42
732	necessary	42
733	books	42
734	curious	42
735	arm	42
736	note	42
737	dark	42
738	playing	42
739	realize	42
740	fire	42
741	beyond	42
742	standing	42
743	angry	42
744	possible	41
745	hugo	41
746	wizard	41
747	oz	41
748	settled	41
749	music	41
750	foolish	41
751	anybody	41
752	whose	41
753	box	41
754	cabin	41
755	past	41
756	state	41
757	save	41
758	trip	41
759	serious	41
760	makes	40
761	nice	40
762	election	40
763	wished	40
764	supper	40
765	children	40
766	retorted	40
767	sorceress	40
768	figure	40
769	telling	40
770	dressed	40
771	general	40
772	waiting	40
773	charge	40
774	laughing	40
775	death	40
776	act	40
777	appearance	40
778	startled	39
779	noticed	39
780	deck	39
781	begin	39
782	busy	39
783	likely	39
784	seeing	39
785	learned	39
786	speed	39
787	abruptly	39
788	'em	39
789	speech	39
790	pause	39
791	upper	39
792	turning	39
793	careful	39
794	witch	39
795	airship	38
796	seat	38
797	hurried	38
798	pleasure	38
799	usual	38
800	creature	38
801	shut	37
802	montana	37
803	closed	37
804	firm	37
805	impossible	37
806	experience	37
807	fool	37
808	soldier	37
809	sensible	37
810	point	37
811	further	37
812	number	37
813	therefore	37
814	common	37
815	lower	37
816	dick	37
817	seven	37
818	throne	37
819	top	37
820	talked	37
821	sick	37
822	casket	37
823	tired	37
824	search	36
825	mortgage	36
826	floor	36
827	powerful	36
828	bank	36
829	knows	36
830	sudden	36
831	clothes	36
832	important	36
833	fresh	36
834	village	36
835	understood	36
836	observed	36
837	bless	36
838	quiet	36
839	ones	36
840	beside	36
841	none	36
842	admitted	36
843	instant	36
844	plan	36
845	arms	36
846	frank	36
847	property	36
848	neither	36
849	breakfast	35
850	tall	35
851	subject	35
852	late	35
853	return	35
854	heavy	35
855	object	35
856	twenty	35
857	eat	35
858	interrupted	35
859	paused	35
860	yours	35
861	somewhat	35
862	shot	35
863	beg	35
864	questions	35
865	dare	35
866	fight	35
867	dropped	35
868	spent	34
869	especially	34
870	educated	34
871	silent	34
872	reform	34
873	merely	34
874	car	34
875	papers	34
876	giving	34
877	nest	34
878	lives	34
879	distance	34
880	lose	34
881	married	34
882	promise	34
883	hesitated	34
884	watched	34
885	softly	34
886	news	34
887	direction	34
888	character	34
889	smiling	34
890	hair	34
891	itself	34
892	lots	34
893	count	33
894	natural	33
895	james	33
896	sunken	33
897	beginning	33
898	appeared	33
899	trees	33
900	raised	33
901	family	33
902	repeated	33
903	hat	33
904	during	33
905	royal	33
906	safe	33
907	dollar	33
908	win	33
909	neck	33
910	corner	33
911	career	33
912	remain	33
913	ride	33
914	garden	33
915	sit	33
916	nature	32
917	realized	32
918	running	32
919	hill	32
920	seated	32
921	education	32
922	barn	32
923	finally	32
924	eye	32
925	grew	32
926	strike	32
927	needed	32
928	galland	32
929	danger	32
930	miles	32
931	louis	32
932	ozma	32
933	aged	32
934	rapidly	32
935	interested	32
936	companion	32
937	houses	32
938	caesar	32
939	fingers	32
940	machine	31
941	rear	31
942	worked	31
943	enter	31
944	arthur	31
945	colman	31
946	pumpkin	31
947	lifted	31
948	daughter	31
949	curiosity	31
950	daddy	31
951	managed	31
952	wide	31
953	cyrus	31
954	looks	31
955	picked	31
956	eagerly	31
957	sharply	31
958	cry	31
959	excuse	31
960	bag	31
961	brains	31
962	odd	31
963	tomorrow	31
964	remained	31
965	circumstances	31
966	plans	31
967	tank	31
968	mouth	30
969	hoped	30
970	color	30
971	prize	30
972	fair	30
973	surely	30
974	plates	30
975	forgotten	30
976	opinion	30
977	write	30
978	step	30
979	sum	30
980	regarded	30
981	electric	30
982	everybody	30
983	food	30
984	workingmen	30
985	wild	30
986	burst	30
987	entirely	30
988	cent	30
989	path	30
990	hungry	30
991	alive	30
992	built	30
993	powder	30
994	listened	30
995	blue	30
996	ways	30
997	visit	30
998	sailor	30
999	liked	30
1000	comes	30
1001	frightened	29
1002	watch	29
1003	worry	29
1004	wings	29
1005	nearer	29
1006	farmhouse	29
1007	listen	29
1008	simple	29
1009	wave	29
1010	gazed	29
1011	moved	29
1012	presently	29
1013	pleasant	29
1014	apparently	29
1015	middle	29
1016	movement	29
1017	youth	29
1018	puzzled	29
1019	carton	29
1020	birds	29
1021	resumed	29
1022	stared	29
1023	line	29
1024	fairly	28
1025	sweet	28
1026	gesture	28
1027	sheldon	28
1028	age	28
1029	revolt	28
1030	wear	28
1031	plenty	28
1032	west	28
1033	whatever	28
1034	song	28
1035	guard	28
1036	_	28
1037	fellows	28
1038	clerk	28
1039	foger	28
1040	tanks	28
1041	o	28
1042	worse	28
1043	offer	28
1044	eight	28
1045	sides	28
1046	opportunity	28
1047	hall	28
1048	fixed	28
1049	sampson	28
1050	loved	28
1051	received	28
1052	moving	28
1053	quietly	28
1054	valuable	28
1055	lying	28
1056	machinery	28
1057	friendly	27
1058	anywhere	27
1059	wooden	27
1060	clean	27
1061	willing	27
1062	accept	27
1063	dozen	27
1064	wore	27
1065	goes	27
1066	cold	27
1067	sleep	27
1068	interesting	27
1069	mighty	27
1070	intend	27
1071	anxious	27
1072	salary	27
1073	strength	27
1074	ashamed	27
1075	foot	27
1076	steel	27
1077	fit	27
1078	terrible	27
1079	prisoners	27
1080	suspected	27
1081	health	27
1082	higgins	27
1083	plainly	27
1084	struck	27
1085	spite	27
1086	shouted	27
1087	race	27
1088	weeks	27
1089	dangerous	27
1090	suits	27
1091	holding	26
1092	reach	26
1093	luck	26
1094	philip	26
1095	massa	26
1096	suspect	26
1097	explain	26
1098	streeter	26
1099	speaking	26
1100	diving	26
1101	tail	26
1102	matters	26
1103	proceeded	26
1104	silver	26
1105	although	26
1106	yesterday	26
1107	leg	26
1108	lie	26
1109	anxiously	26
1110	martin	26
1111	jewelry	26
1112	putting	26
1113	porch	26
1114	bow	26
1115	highly	26
1116	gently	26
1117	respect	26
1118	aboard	26
1119	prepared	26
1120	difficult	26
1121	sargent	26
1122	comfortable	26
1123	shrewd	26
1124	listening	25
1125	offered	25
1126	months	25
1127	thick	25
1128	latter	25
1129	game	25
1130	nick	25
1131	sigh	25
1132	afford	25
1133	move	25
1134	milk	25
1135	stairs	25
1136	desk	25
1137	magic	25
1138	finding	25
1139	sky	25
1140	law	25
1141	sell	25
1142	purpose	25
1143	keeping	25
1144	rode	25
1145	lovely	25
1146	believed	25
1147	brother	25
1148	prove	25
1149	to-morrow	25
1150	field	25
1151	sister	25
1152	broken	25
1153	immediately	25
1154	emperor	25
1155	hurt	25
1156	stammered	25
1157	pulled	25
1158	windows	25
1159	carriage	25
1160	ideas	25
1161	delight	25
1162	cast	25
1163	stern	25
1164	hurry	24
1165	stupid	24
1166	fiddle	24
1167	muttered	24
1168	curiously	24
1169	king	24
1170	arrived	24
1171	rule	24
1172	shoulders	24
1173	fly	24
1174	usually	24
1175	doorway	24
1176	watching	24
1177	bright	24
1178	third	24
1179	bent	24
1180	tramp	24
1181	merchant	24
1182	greatly	24
1183	aloud	24
1184	considered	24
1185	classes	24
1186	urged	24
1187	island	24
1188	wise	24
1189	affairs	24
1190	angrily	24
1191	attempt	24
1192	advice	24
1193	rise	24
1194	sink	24
1195	pointed	24
1196	welcome	24
1197	sighed	24
1198	content	24
1199	narrow	24
1200	admiral	24
1201	evidently	24
1202	pauper	24
1203	leaves	24
1204	pride	23
1205	ourselves	23
1206	cloud	23
1207	boss	23
1208	fully	23
1209	book	23
1210	veranda	23
1211	husband	23
1212	cheeks	23
1213	ordinary	23
1214	stock	23
1215	beneath	23
1216	allowed	23
1217	handsome	23
1218	gaze	23
1219	growing	23
1220	walls	23
1221	child	23
1222	earth	23
1223	force	23
1224	nose	23
1225	acquaintance	23
1226	oreville	23
1227	ignorant	23
1228	thoughts	23
1229	knowing	23
1230	mayor	23
1231	thinks	23
1232	accident	23
1233	eager	23
1234	bound	23
1235	saved	23
1236	crazy	23
1237	possession	23
1238	laid	23
1239	shop	23
1240	contained	23
1241	agreed	23
1242	clothing	23
1243	rush	23
1244	blood	23
1245	yard	23
1246	various	23
1247	difference	23
1248	blame	22
1249	satisfied	22
1250	difficulty	22
1251	hot	22
1252	placed	22
1253	square	22
1254	habit	22
1255	lieutenant	22
1256	adventurers	22
1257	jest	22
1258	wealth	22
1259	hung	22
1260	due	22
1261	shape	22
1262	miners	22
1263	success	22
1264	false	22
1265	ordered	22
1266	charm	22
1267	pleaded	22
1268	wind	22
1269	leading	22
1270	peculiar	22
1271	gang	22
1272	threw	22
1273	harm	22
1274	announced	22
1275	board	22
1276	war	22
1277	goin	22
1278	hate	22
1279	attack	22
1280	influence	22
1281	jewels	22
1282	loss	22
1283	quarter	22
1284	altogether	22
1285	lunch	22
1286	jackson	22
1287	south	22
1288	familiar	22
1289	sprang	22
1290	roof	22
1291	situation	22
1292	bought	22
1293	born	22
1294	gates	22
1295	sympathy	22
1296	slow	22
1297	admit	22
1298	hastily	22
1299	advantage	22
1300	pieces	21
1301	carrying	21
1302	sooner	21
1303	pardon	21
1304	soul	21
1305	sought	21
1306	sad	21
1307	command	21
1308	confidence	21
1309	ending	21
1310	wondering	21
1311	prefer	21
1312	supposed	21
1313	straw	21
1314	valley	21
1315	advanced	21
1316	wood	21
1317	engine-room	21
1318	broke	21
1319	rising	21
1320	personal	21
1321	useless	21
1322	attractive	21
1323	axe	21
1324	cents	21
1325	fifteen	21
1326	chief	21
1327	doors	21
1328	belongs	21
1329	conversation	21
1330	gray	21
1331	republican	21
1332	sign	21
1333	owe	21
1334	touch	21
1335	particular	21
1336	physical	21
1337	tree	21
1338	fashion	21
1339	gazing	21
1340	begun	21
1341	pressure	21
1342	disappointed	21
1343	amazement	21
1344	auto	21
1345	private	21
1346	refused	21
1347	seized	21
1348	humor	21
1349	reading	21
1350	relief	21
1351	college	21
1352	treated	21
1353	leaving	21
1354	sank	21
1355	engaged	21
1356	lead	21
1357	joy	21
1358	forest	21
1359	silly	21
1360	language	21
1361	perfectly	21
1362	earnest	21
1363	wall	21
1364	elected	20
1365	caused	20
1366	towers	20
1367	fish	20
1368	excellent	20
1369	fill	20
1370	grass	20
1371	remembered	20
1372	pursued	20
1373	leader	20
1374	gold-pieces	20
1375	theft	20
1376	jen	20
1377	action	20
1378	bills	20
1379	satisfactory	20
1380	guilty	20
1381	article	20
1382	building	20
1383	flowers	20
1384	died	20
1385	effort	20
1386	trust	20
1387	direct	20
1388	cat	20
1389	somehow	20
1390	scarcely	20
1391	die	20
1392	gas	20
1393	single	20
1394	flight	20
1395	crow	20
1396	creatures	20
1397	twelve	20
1398	frowned	20
1399	thoroughly	20
1400	service	20
1401	forced	20
1402	yellow	20
1403	sofas	20
1404	written	20
1405	clever	20
1406	satisfaction	20
1407	propose	20
1408	rain	20
1409	beat	20
1410	train	20
1411	vain	20
1412	importance	20
1413	stepped	20
1414	mistake	20
1415	chin	20
1416	discharged	20
1417	earn	20
1418	shopton	20
1419	uneasy	20
1420	slightly	20
1421	month	20
1422	silk	20
1423	share	20
1424	delighted	20
1425	main	20
1426	animal	20
1427	writing	19
1428	precious	19
1429	task	19
1430	waters	19
1431	hooper	19
1432	hearing	19
1433	conquer	19
1434	proud	19
1435	conquered	19
1436	meeting	19
1437	stolen	19
1438	places	19
1439	showing	19
1440	whiskers	19
1441	justice	19
1442	purple	19
1443	wrote	19
1444	gentlemen	19
1445	tied	19
1446	hidden	19
1447	jackdaws	19
1448	possibly	19
1449	asking	19
1450	anyone	19
1451	dry	19
1452	fancy	19
1453	fastened	19
1454	soft	19
1455	observation	19
1456	remark	19
1457	kid	19
1458	mile	19
1459	riding	19
1460	travelers	19
1461	protested	19
1462	suspicion	19
1463	notes	19
1464	proved	19
1465	bowed	19
1466	society	19
1467	wages	19
1468	breathed	19
1469	blind	19
1470	useful	19
1471	forgot	19
1472	reflected	19
1473	latin	19
1474	future	19
1475	anger	19
1476	practical	19
1477	tiny	19
1478	throw	19
1479	drawn	19
1480	intended	19
1481	pass	19
1482	favor	19
1483	sincere	18
1484	soldiers	18
1485	promptly	18
1486	lend	18
1487	ill	18
1488	enjoy	18
1489	leaders	18
1490	missing	18
1491	pull	18
1492	catch	18
1493	result	18
1494	trick	18
1495	conditions	18
1496	empty	18
1497	entrance	18
1498	respectable	18
1499	masters	18
1500	dared	18
1501	spare	18
1502	waited	18
1503	killed	18
1504	cross	18
1505	letters	18
1506	passion	18
1507	history	18
1508	notice	18
1509	cook	18
1510	pills	18
1511	allow	18
1512	appear	18
1513	fond	18
1514	mistaken	18
1515	today	18
1516	extraordinary	18
1517	amused	18
1518	chap	18
1519	tent	18
1520	refuse	18
1521	spend	18
1522	democratic	18
1523	rejoined	18
1524	occurred	18
1525	completely	18
1526	aunt	18
1527	perfect	18
1528	steadily	18
1529	stick	18
1530	promised	18
1531	telephone	18
1532	obliged	18
1533	drop	18
1534	riot	18
1535	chamber	18
1536	wondered	18
1537	helped	18
1538	lodging	18
1539	unusual	18
1540	feared	18
1541	value	18
1542	calmly	18
1543	folks	18
1544	signal	18
1545	hurrying	18
1546	troubled	18
1547	control	18
1548	coast	18
1549	nancy	18
1550	bill	18
1551	draw	18
1552	waving	18
1553	anyway	18
1554	income	17
1555	farther	17
1556	lighted	17
1557	flying	17
1558	tune	17
1559	special	17
1560	admiration	17
1561	reckon	17
1562	attracted	17
1563	lake	17
1564	popular	17
1565	proper	17
1566	gain	17
1567	sailors	17
1568	convinced	17
1569	boldero	17
1570	pose	17
1571	request	17
1572	intelligent	17
1573	railroad	17
1574	ease	17
1575	streets	17
1576	pockets	17
1577	pair	17
1578	older	17
1579	edge	17
1580	dirty	17
1581	awful	17
1582	lines	17
1583	balloonist	17
1584	occupied	17
1585	pilot	17
1586	teach	17
1587	grow	17
1588	recognized	17
1589	swiftly	17
1590	impression	17
1591	rate	17
1592	cared	17
1593	miner	17
1594	park	17
1595	glass	17
1596	proposed	17
1597	trial	17
1598	cleared	17
1599	concluded	17
1600	loose	17
1601	terms	17
1602	river	17
1603	hastened	17
1604	plutocracy	17
1605	fighting	17
1606	magnified	17
1607	agree	17
1608	examined	17
1609	heads	17
1610	larger	17
1611	damage	17
1612	astonished	17
1613	disappeared	17
1614	strings	17
1615	cloak	17
1616	magical	17
1617	brief	17
1618	depth	17
1619	glaspell	17
1620	citizens	17
1621	compelled	17
1622	shed	17
1623	nervous	17
1624	frankly	17
1625	shining	17
1626	opposite	17
1627	social	17
1628	lift	17
1629	hide	17
1630	leaned	17
1631	wicked	17
1632	considerable	17
1633	brown	16
1634	golden	16
1635	captured	16
1636	gratefully	16
1637	actions	16
1638	absurd	16
1639	venture	16
1640	storm	16
1641	waste	16
1642	mad	16
1643	size	16
1644	beings	16
1645	ring	16
1646	asleep	16
1647	selling	16
1648	struggle	16
1649	terror	16
1650	equally	16
1651	avenue	16
1652	handed	16
1653	commanded	16
1654	rushed	16
1655	rival	16
1656	ejaculated	16
1657	ned	16
1658	governor	16
1659	employ	16
1660	meanwhile	16
1661	statement	16
1662	dust	16
1663	aft	16
1664	report	16
1665	break	16
1666	somebody	16
1667	complete	16
1668	equal	16
1669	marble	16
1670	entire	16
1671	higher	16
1672	marriage	16
1673	kitten	16
1674	fortunate	16
1675	responded	16
1676	advise	16
1677	regard	16
1678	gets	16
1679	nine	16
1680	effect	16
1681	clearwater	16
1682	smart	16
1683	imagine	16
1684	card	16
1685	check	16
1686	deeply	16
1687	ma'am	16
1688	pleasantly	16
1689	afterward	16
1690	bother	16
1691	telegraph	16
1692	singing	16
1693	instance	16
1694	commented	16
1695	superior	16
1696	aware	16
1697	faces	16
1698	duty	16
1699	presence	16
1700	police	16
1701	fur	16
1702	mention	16
1703	employer	16
1704	splendid	16
1705	cheap	16
1706	impressed	16
1707	fraud	16
1708	burton	16
1709	bundy	16
1710	receive	16
1711	discover	16
1712	slender	16
1713	to-night	16
1714	vanity	16
1715	joke	16
1716	whenever	16
1717	emotion	16
1718	contrary	16
1719	pain	16
1720	american	16
1721	tears	16
1722	surrounded	16
1723	hills	16
1724	pale	16
1725	helping	16
1726	kindly	16
1727	pictures	16
1728	stuff	16
1729	obviously	16
1730	succeeded	15
1731	gear	15
1732	fat	15
1733	type	15
1734	bore	15
1735	wheels	15
1736	ticket	15
1737	eating	15
1738	'n	15
1739	united	15
1740	nonsense	15
1741	fault	15
1742	harvey	15
1743	courage	15
1744	east	15
1745	gathered	15
1746	shaking	15
1747	clearly	15
1748	court	15
1749	idle	15
1750	instantly	15
1751	bread	15
1752	covered	15
1753	staring	15
1754	candidate	15
1755	ate	15
1756	votes	15
1757	directly	15
1758	relieved	15
1759	risk	15
1760	series	15
1761	reaching	15
1762	disappointment	15
1763	rock	15
1764	amazed	15
1765	pumps	15
1766	forty	15
1767	kill	15
1768	sake	15
1769	becoming	15
1770	boarding	15
1771	gun	15
1772	ended	15
1773	example	15
1774	hit	15
1775	flew	15
1776	aroused	15
1777	parcel	15
1778	friendship	15
1779	energy	15
